longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-122.07359567211093,40.45738042198061,18.0,6202.222042177856,1040.3655460577845,2462.890373690494,975.2674147615368,3.807264388006079,INLAND,14999.0
-119.12689885982704,33.815174111410784,30.8,1604.8330313984382,363.02185155312105,2463.5610739492254,270.7136449417364,1.5392348907478468,<1H OCEAN,14999.0
-122.71583484811843,38.01934653114745,18.0,2988.631625596116,568.6648330697009,1295.1811591580467,550.4435249607645,6.100961369199041,INLAND,14999.0
-122.06698181674746,32.84910916739821,29.8,2080.3593373704607,386.8790640304515,1328.2484535645342,368.915467801717,3.241789803693278,<1H OCEAN,14999.0
-122.26922832667807,37.97479059116328,26.4,4334.129307713855,1346.1510050811692,1823.7371944609883,1270.2821016538148,3.0075830619785195,INLAND,14999.0
-122.7052108342748,37.65921819656604,17.2,8189.765418004656,1232.484324524059,2767.5830131588928,1237.9387082892792,3.914160895831757,INLAND,14999.0
-118.15324603815638,33.94167034814872,17.0,18486.724041487723,2910.8512330664907,13246.66068940043,5781.969252689036,4.606832446183947,<1H OCEAN,14999.0
-121.97662163828188,37.95469874732771,19.0,2478.9949052061406,1397.5466159471653,2003.0882972765453,1272.205719951821,3.9920610164453194,NEAR BAY,14999.0
-118.2521933011576,34.00770150671194,18.599975586310023,17460.07690451203,6085.690745021377,13343.199350190862,5781.041331745694,11.913974245011543,,14999.0
-118.13898365956474,33.010163950347376,5.4,1360.3899190515258,654.3287040994802,1216.8121961266295,665.753858357145,6.1982043637317386,<1H OCEAN,14999.0
-118.56571396204076,34.26819979512556,17.2,16073.863956179435,2733.260607487583,5562.264801059911,2609.112998226218,3.3229142194076937,<1H OCEAN,14999.0
-122.30049476342056,38.01693062506312,18.8,2445.051815555676,455.4941582462038,1777.3597599161694,436.4679890155018,5.81764872363148,<1H OCEAN,14999.0
-118.1019176702555,34.19024715590762,30.8,1659.3956717032463,232.39811122962232,203.3689823063018,200.09993209715464,5.415400068847486,<1H OCEAN,14999.0
-117.8883780309042,34.66601855152194,18.200000000000003,2944.0900892345444,450.57282071783504,1787.5916364517975,523.8046556547761,3.843269357617472,<1H OCEAN,14999.0
-119.3582260245849,38.11936249760896,26.4,3457.541087461063,464.2015343911949,1493.274773612217,454.3677958793397,4.977141967755566,INLAND,14999.0
-117.44196286700944,33.64024955546024,19.0,1960.952426744847,498.5197235572896,145.81582148345555,525.1532193487867,1.418223581574793,<1H OCEAN,14999.0
-117.74204573762418,33.733571808217924,17.2,3785.8127823234095,1051.4218118466488,2543.070291263766,1019.5793946221422,2.235462291959897,<1H OCEAN,14999.0
-118.02072686803312,33.110625544500216,20.4,1182.2481884840522,725.2928349944514,1523.1709523455172,746.6881700797677,12.040821751881884,<1H OCEAN,14999.0
-120.54312650329273,35.52021499061264,25.2,2597.3105979956013,789.9203861544189,1273.287509472642,722.5397164785628,1.9841962675867824,INLAND,14999.0
-118.85014586356937,33.93587807987255,18.0,18979.09914046272,5881.367200180974,13064.63342259094,5662.419014174821,12.141417751604903,<1H OCEAN,14999.0
-117.83197594367944,34.139037894322314,14.2,17623.7537485598,6150.967761804807,28073.333737264697,5709.221876968449,4.947845932219538,<1H OCEAN,14999.0
-117.07281427541814,32.98433779945698,21.8,2263.120194567163,523.8946603766864,1531.3417749398718,526.1689480522575,5.416436417342754,NEAR OCEAN,14999.0
-117.43801612815076,36.5452922576748,28.0,1364.4206809728453,688.5003425366014,1196.4932941474235,731.6125582786306,3.86084333546179,INLAND,14999.0
-119.642273965071,37.83911267912227,15.2,3995.696848844107,769.3134064926564,1452.5963360661633,650.436732032438,6.414970621612452,INLAND,14999.0
-118.10399706476228,34.20585503158529,30.0,2069.3097417813983,402.4386008496952,855.2261230303501,380.5278932914436,6.164977454406507,<1H OCEAN,14999.0
-117.1245408124138,33.90813601210204,24.4,2297.964721456628,397.6586002969785,651.9654458067299,335.22751616342634,9.808281509469632,<1H OCEAN,14999.0
-119.74898566217138,40.23030029959519,14.0,767.6134782441924,115.54827448133103,589.6706246204374,123.953856057011,1.1168750346538086,INLAND,14999.0
-120.64898161005672,40.40404013081083,17.0,17346.037431516226,5784.453216764017,10145.872046922535,5471.713001604824,2.1423385334559804,INLAND,14999.0
-121.952999708737,33.560872744072896,15.2,2807.4226465717475,662.4281250996115,778.8134843594892,627.7351639365626,6.220823301729589,<1H OCEAN,14999.0
-118.09030776999433,34.4360497869053,17.0,2893.322886938537,395.96177640160585,483.8706381586079,357.6919885821855,3.128251198263781,<1H OCEAN,14999.0
-117.9809206835532,34.03801726523042,39.2,3915.230653778005,423.5357618449572,1309.9113201531377,460.6353582811158,11.409103068309232,<1H OCEAN,14999.0
-116.9237958257212,34.08282303111461,34.8,1208.6124951258796,230.08409446875663,467.68964527377153,242.11372669253356,3.843587766878513,<1H OCEAN,14999.0
-120.46492411170968,36.91784297792657,18.0,4496.230389667729,759.7144275174277,1319.8841392791094,562.7708308917402,5.692818474963009,INLAND,14999.0
-119.3547097911138,38.02940347457058,21.8,906.3562496868792,110.97511815139444,721.01849716227,55.82075986681058,7.019666452421613,INLAND,14999.0
-120.59988863537318,37.199959336160674,26.0,294.73512013133967,392.2060885809376,561.7200964493026,255.8456254782727,3.695437602458647,INLAND,14999.0
-122.03849330201942,37.388271177108,17.0,19197.020892676668,2662.2804917500544,13371.349554870823,2549.944717835855,12.431187049479243,<1H OCEAN,14999.0
-123.1452753915068,37.75575771009917,18.8,1671.4097145091298,487.8123351342074,1067.5157762878844,390.983266278399,5.170935493568665,<1H OCEAN,14999.0
-117.24783995942629,32.99908661337082,43.6,3278.4142023442346,570.4657654914693,1283.242951255814,534.9248901763756,7.43476736196742,<1H OCEAN,14999.0
-118.0672349519835,34.09081974725258,15.8,18691.52708519425,2166.9530666940736,11896.083884184967,2046.630768451521,12.31831516123284,<1H OCEAN,14999.0
-122.1046845222252,40.31173601932399,25.0,335.98712003929245,273.40324735464606,661.2788702548199,257.09266755545804,4.457387257184061,INLAND,14999.0
-117.90984306216237,34.19862977700276,18.0,3210.695860459165,608.380140635972,2797.807372953232,429.3655647927349,3.8322225316101033,<1H OCEAN,14999.0
-118.29631650812604,34.016173095159736,30.6,16135.264758217909,2993.215994031219,11475.937841738792,2787.4063082859866,4.096927359273617,<1H OCEAN,14999.0
-122.43253847573013,37.979583610612806,17.2,16344.20548764947,1963.6543177018536,11377.29057041376,1848.7346768096868,11.992383591543808,<1H OCEAN,14999.0
-121.929736391087,37.38138412203439,17.0,18515.5184753564,2864.059556929176,13343.892229339082,2740.692984828654,12.536511146344386,<1H OCEAN,14999.0
-121.84506115169614,40.3815441484101,18.6,3439.9304165844646,310.9427198772185,784.998029454378,345.9738236789065,5.709364483769672,INLAND,14999.0
-122.16501716496772,37.920662191703606,30.6,2884.8639415984194,519.2400209592283,1054.8595974982854,570.3584150055792,6.978887646388586,<1H OCEAN,14999.0
-116.88697740202234,32.96075338616519,52.0,1119.8018675501928,423.9419424857344,1719.392774932178,455.1631103696216,6.664306730631368,<1H OCEAN,14999.0
-118.8792338561847,33.91577109666675,10.0,37409.60499558076,6058.751082061266,13114.767967665746,5703.611735845592,11.460421091578462,,14999.0
-118.30127680614387,34.00311134605974,17.0,38952.32155558847,2934.6357665727,13343.416417343176,5876.9406920783085,4.890260084783649,,14999.0
-119.75055257798184,38.2565809665496,24.4,3670.283727087147,481.143772094544,996.693734046466,540.1651989114855,2.6031887022382785,INLAND,14999.0
-121.95996020738266,38.05188667504859,26.0,17240.308547082896,2821.8785371363347,13819.883465257446,2846.8481465619634,12.42450032670591,,14999.0
-118.42423914657772,33.96116658812649,23.4,1370.8784026864168,387.5469870908528,769.5621275502634,334.0105904857653,4.080948040828865,<1H OCEAN,14999.0
-118.11237231887932,33.865901507217416,22.8,2219.3874525598685,573.9698248237767,1062.0943379493183,435.4874086180905,4.7188102611577865,<1H OCEAN,14999.0
-118.7793490557534,33.934150007302904,10.0,18597.42862695768,6231.419265846354,13336.38338175518,5855.27668923472,5.088261874142559,<1H OCEAN,14999.0
-118.18400088216038,33.99218148100939,25.975000001484293,36958.40382748992,6060.515893299951,13566.785293770672,5727.0390920383015,12.367563336932252,,14999.0
